Using license file /spack/apps/linux-centos7-x86_64/gcc-8.3.0/gurobi-9.0.1/license/gurobi.lic
Set parameter TokenServer to value hpc-licenses.hpcc.usc.edu
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.1 build v9.0.1rc0 (linux64)
Optimize a model with 87627 rows, 24380 columns and 324759 nonzeros
Model fingerprint: 0xab547de9
Model has 500 quadratic objective terms
Variable types: 16548 continuous, 7832 integer (7832 binary)
Coefficient statistics:
  Matrix range     [2e-03, 3e+02]
  Objective range  [9e-03, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Presolve removed 6884 rows and 6285 columns
Presolve time: 1.36s
Presolved: 80743 rows, 18095 columns, 252449 nonzeros
Presolved model has 500 quadratic objective terms
Variable types: 16354 continuous, 1741 integer (1741 binary)
Found heuristic solution: objective 104.5753469

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  458578    1.7068169e+03   0.000000e+00   1.145053e+01    570s
  461410    1.7152380e+03   0.000000e+00   1.046219e+01    575s
  464065    1.7221731e+03   0.000000e+00   1.186333e+01    580s
  466529    1.7229329e+03   0.000000e+00   1.287106e+01    585s
  469354    1.7261659e+03   0.000000e+00   6.871518e+00    590s
  472002    1.7316148e+03   0.000000e+00   6.700209e+00    595s
  474657    1.7387976e+03   0.000000e+00   1.378281e+01    600s
  477475    1.7435037e+03   0.000000e+00   5.650071e+00    605s
  480123    1.7499434e+03   0.000000e+00   6.595318e+00    610s
  482948    1.7586122e+03   0.000000e+00   4.296546e+00    615s
  485780    1.7675291e+03   0.000000e+00   4.058929e+00    620s
  488435    1.7729782e+03   0.000000e+00   5.777746e+00    625s
  491267    1.7796659e+03   0.000000e+00   3.336683e+00    630s
  493901    1.7812322e+03   0.000000e+00   1.712384e+01    635s
  496726    1.7856906e+03   0.000000e+00   2.922612e+00    640s
  499551    1.7894458e+03   0.000000e+00   3.805392e+00    645s
  502206    1.7906853e+03   0.000000e+00   5.216202e+00    650s
  505208    1.7920204e+03   0.000000e+00   2.870213e+01    655s
  507353    1.7940027e+03   0.000000e+00   1.124875e+01    660s
  509642    1.7964790e+03   0.000000e+00   4.362828e+00    665s
  512229    1.7964800e+03   0.000000e+00   1.864058e+01    670s
  514421    1.7964820e+03   0.000000e+00   4.577920e+00    675s
  516181    1.7979860e+03   0.000000e+00   5.620564e+00    680s
  517771    1.7998034e+03   0.000000e+00   1.112058e+00    685s
  519511    1.8022752e+03   0.000000e+00   4.540541e-01    690s
  525347    1.8025829e+03   9.223733e+00   0.000000e+00    695s
  528002    1.8025829e+03   5.012536e+00   0.000000e+00    700s
  531011    1.8025829e+03   5.838192e+00   0.000000e+00    705s
  533843    1.8025829e+03   7.804417e+00   0.000000e+00    710s
  536675    1.8025829e+03   5.589441e+00   0.000000e+00    715s
  539507    1.8025829e+03   5.101863e+00   0.000000e+00    720s
  542339    1.8025829e+03   7.644108e+00   0.000000e+00    725s
  545171    1.8025829e+03   5.891329e+00   0.000000e+00    730s
  548003    1.8025829e+03   5.339428e+00   0.000000e+00    735s
  550835    1.8025829e+03   5.568284e+00   0.000000e+00    740s
  553667    1.8025829e+03   9.344035e+00   0.000000e+00    745s
  556499    1.8025829e+03   6.494829e+00   0.000000e+00    750s
  559331    1.8025829e+03   6.060411e+00   0.000000e+00    755s
  562163    1.8025829e+03   3.243667e+01   0.000000e+00    760s
  564995    1.8025829e+03   5.537287e+00   0.000000e+00    765s
  567827    1.8025829e+03   5.791654e+00   0.000000e+00    770s
  570659    1.8025829e+03   1.022262e+01   0.000000e+00    775s
  573668    1.8025829e+03   4.904791e+00   0.000000e+00    780s
  576500    1.8025829e+03   9.929238e+00   0.000000e+00    785s
  579686    1.8025829e+03   4.852571e+00   0.000000e+00    790s
  582872    1.8025829e+03   5.131962e+00   0.000000e+00    795s
  586058    1.8025829e+03   1.372844e+01   0.000000e+00    800s
